"","sucrose_umol_m2.12.comps"
"Wave_813",0.882409500888503
"Wave_814",0.852464161268701
"Wave_815",0.714094929018773
"Wave_816",0.684816808948574
"Wave_817",0.731615039594338
"Wave_818",0.808417600951516
"Wave_819",0.672181722196945
"Wave_820",0.682253236646563
"Wave_821",0.357358413086974
"Wave_822",-0.0045552339050267
"Wave_823",0.0478401766537432
"Wave_824",0.34187546543861
"Wave_825",0.517259100837116
"Wave_826",0.480239000314067
"Wave_827",0.0236786890708021
"Wave_828",-0.186665357532236
"Wave_829",0.292385312393728
"Wave_830",0.548357379022175
"Wave_831",0.576416592792613
"Wave_832",0.290935969952214
"Wave_833",0.228766496128513
"Wave_834",-0.110306592645914
"Wave_835",-0.242849236954637
"Wave_836",-0.284500988571256
"Wave_837",-0.101740532866417
"Wave_838",-0.0853572752468613
"Wave_839",-0.128058498237019
"Wave_840",-0.174834096905539
"Wave_841",-0.22995439399184
"Wave_842",-0.437759032852533
"Wave_843",-0.184897499346566
"Wave_844",-0.273533268067769
"Wave_845",-0.45186126802246
"Wave_846",-0.540956587485187
"Wave_847",-0.657855225931897
"Wave_848",-0.988516746727711
"Wave_849",-0.61777081350136
"Wave_850",-0.212503181271975
"Wave_851",-0.0503396985896663
"Wave_852",-0.151190853799262
"Wave_853",-0.614226938236572
"Wave_854",-0.563573318675599
"Wave_855",-0.374656447330495
"Wave_856",-0.440642557603476
"Wave_857",-0.325309507000313
"Wave_858",-0.229835305914297
"Wave_859",-0.256687358129501
"Wave_860",-0.469172471920212
"Wave_861",-0.718451122426914
"Wave_862",-0.609491511223091
"Wave_863",-0.48258901799182
"Wave_864",-0.235393029054075
"Wave_865",-0.170479650800498
"Wave_866",-0.661119980944426
"Wave_867",-0.476388553057804
"Wave_868",-0.49092668213078
"Wave_869",-0.508333552472788
"Wave_870",0.177660248923892
"Wave_871",0.414001451553062
"Wave_872",-0.125958590393372
"Wave_873",-0.2588415105931
"Wave_874",-0.499513148067699
"Wave_875",-0.813401504295463
"Wave_876",-0.419495119662768
"Wave_877",-0.385237906530818
"Wave_878",-0.701946123510449
"Wave_879",-1.02018153896376
"Wave_880",-0.892718660501899
"Wave_881",-0.665835644553848
"Wave_882",-0.181001392900875
"Wave_883",0.0447662870372937
"Wave_884",-0.572324540808413
"Wave_885",-0.263080113630486
"Wave_886",-0.202173920431983
"Wave_887",-0.201172261105721
"Wave_888",-0.34338009883705
"Wave_889",-0.538917308777445
"Wave_890",-0.610553694346565
"Wave_891",-0.569508061552304
"Wave_892",-0.631412030272585
"Wave_893",-0.640667685095893
"Wave_894",-0.396774141367335
"Wave_895",-0.866692338301743
"Wave_896",-0.445406543405141
"Wave_897",0.0674067401024438
"Wave_898",-0.143158704587012
"Wave_899",-0.508861266867196
"Wave_900",-0.621259396305084
"Wave_901",-0.690330234244054
"Wave_902",-0.329996498681586
"Wave_903",-0.343167538242287
"Wave_904",-0.289270215748402
"Wave_905",-0.39295150496337
"Wave_906",-0.692126327044555
"Wave_907",-0.952664084881097
"Wave_908",-1.15158814235205
"Wave_909",-0.59438316828931
"Wave_910",-0.862518908831215
"Wave_911",-0.778765720849209
"Wave_912",-0.605383345183788
"Wave_913",-0.812727403725874
"Wave_914",-0.867504691611966
"Wave_915",-0.603257177343829
"Wave_916",-0.0890624842026935
"Wave_917",0.134215890309184
"Wave_918",-0.208234753678593
"Wave_919",-0.558586860183646
"Wave_920",-0.123517969971955
"Wave_921",-0.478402264727914
"Wave_922",-0.616534326993905
"Wave_923",-0.237762065852905
"Wave_924",-0.209939440959936
"Wave_925",-0.0965298036484536
"Wave_926",-0.254106350065384
"Wave_927",-1.52916700232555
"Wave_928",-1.78993083237582
"Wave_929",-0.396201640735149
"Wave_930",0.291801566679013
"Wave_931",-0.0501601280126448
"Wave_932",-0.595020224527399
"Wave_933",-0.778610191439949
"Wave_934",-1.13039945353022
"Wave_935",-1.33715140260294
"Wave_936",-0.800914803456347
"Wave_937",-0.393416103581263
"Wave_938",-0.368181056244845
"Wave_939",-0.500712632947667
"Wave_940",-0.60510232068964
"Wave_941",-0.470873866259965
"Wave_942",0.195193143799788
"Wave_943",-0.052679586919253
"Wave_944",-0.490676174298799
"Wave_945",-0.767294587873217
"Wave_946",-0.876280430599786
"Wave_947",-0.727204378451771
"Wave_948",0.355710611813276
"Wave_949",-0.100531252125996
"Wave_950",-0.585367889036732
"Wave_951",-1.26074381349647
"Wave_952",-0.509106964020286
"Wave_953",0.340579332188631
"Wave_954",0.0289586003869681
"Wave_955",-0.179950666452462
"Wave_956",-0.592119629428397
"Wave_957",-0.575644493956236
"Wave_958",0.253524372613033
"Wave_959",-0.59784251401079
"Wave_960",-1.2810960938063
"Wave_961",-0.786982117571289
"Wave_962",-0.568946824753507
"Wave_963",0.320026047288422
"Wave_964",-0.588027737650782
"Wave_965",-1.25155460229694
"Wave_966",-1.24897273985886
"Wave_967",-0.624631098913212
"Wave_968",-0.41780961008356
"Wave_969",-1.25901325226959
"Wave_970",-0.674387312590711
"Wave_971",-0.834889362222298
"Wave_972",-0.736790884212464
"Wave_973",-0.636100300605082
"Wave_974",-0.535409740796577
"Wave_975",-0.522794401500373
"Wave_976",-0.505624902895537
"Wave_977",-0.448595963281518
"Wave_978",-0.391566995359635
"Wave_979",-0.369180383724573
"Wave_980",-0.469744725743743
"Wave_981",-0.64971043775452
"Wave_982",-0.811068939198867
"Wave_983",-0.804963296580282
"Wave_984",-0.547433544734634
"Wave_985",-0.227047837251177
"Wave_986",0.0890194967540056
"Wave_987",0.387813597526198
"Wave_988",0.290116141486859
"Wave_989",0.192418627517225
"Wave_990",0.110207347368631
"Wave_991",0.0733302880727502
"Wave_992",0.124872663922478
"Wave_993",0.17641516874776
"Wave_994",0.322436799531217
"Wave_995",0.469345285150026
"Wave_996",0.471355525342453
"Wave_997",0.473365750656747
"Wave_998",0.257590969644321
"Wave_999",0.128054081606784
"Wave_1000",0.17809124540567
"Wave_1001",0.228128436436002
"Wave_1002",0.561204544124177
"Wave_1003",0.686260111322933
"Wave_1004",0.708686031063514
"Wave_1005",0.722942745408764
