"","LMA_g_m2.12.comps"
"Wave_1023",-0.763881155049007
"Wave_1024",-1.20831007362533
"Wave_1025",-1.61752405278425
"Wave_1026",-2.11173136069667
"Wave_1027",-2.61581745367761
"Wave_1028",-3.06784905958745
"Wave_1029",-3.06300100628339
"Wave_1030",-3.16259907198152
"Wave_1031",-3.26219782398831
"Wave_1032",-3.29592511267121
"Wave_1033",-3.16423657226537
"Wave_1034",-3.26137806478557
"Wave_1035",-3.35851911857873
"Wave_1036",-3.68013450384043
"Wave_1037",-4.04839502206389
"Wave_1038",-4.1265866819522
"Wave_1039",-4.20477868522337
"Wave_1040",-4.04498311784079
"Wave_1041",-3.99695242199683
"Wave_1042",-4.06481813497185
"Wave_1043",-4.13268341252592
"Wave_1044",-4.13379266790738
"Wave_1045",-4.40152472716324
"Wave_1046",-4.70073721807694
"Wave_1047",-4.99994842722917
"Wave_1048",-5.11347727664112
"Wave_1049",-5.14103008001718
"Wave_1050",-5.16858275468814
"Wave_1051",-5.20083537469672
"Wave_1052",-5.29471081574479
"Wave_1053",-5.43368290737069
"Wave_1054",-5.57265408928364
"Wave_1055",-5.70388696369874
"Wave_1056",-5.83154524766548
"Wave_1057",-5.97368542535718
"Wave_1058",-6.11582637734998
"Wave_1059",-6.14887325805554
"Wave_1060",-6.35518904529057
"Wave_1061",-6.68251661744441
"Wave_1062",-7.00984534447614
"Wave_1063",-7.36815693010461
"Wave_1064",-7.39515598810956
"Wave_1065",-7.38386699518429
"Wave_1066",-7.37257753204258
"Wave_1067",-7.28901015219362
"Wave_1068",-7.33103632188108
"Wave_1069",-7.37306153048908
"Wave_1070",-7.41508635440294
"Wave_1071",-7.25988958651913
"Wave_1072",-7.00302957673005
"Wave_1073",-6.74616921978642
"Wave_1074",-6.41753069918828
"Wave_1075",-6.21730137252512
"Wave_1076",-6.43259129217061
"Wave_1077",-6.6478802505017
"Wave_1078",-7.07668899769601
"Wave_1079",-7.43037559212644
"Wave_1080",-7.61460594504436
"Wave_1081",-7.79883559033027
"Wave_1082",-7.73978399728088
"Wave_1083",-7.98103427991667
