"","protein_mg_m2.12.comps"
"Wave_788",2.801902971142
"Wave_789",2.71524392321621
"Wave_790",2.97176596863469
"Wave_791",2.59077425126069
"Wave_792",2.81529389103533
"Wave_793",3.17202616149231
"Wave_794",3.20925525501593
"Wave_795",3.23953309557886
"Wave_796",2.68181205528257
"Wave_797",2.72948278938574
"Wave_798",2.79886773872592
"Wave_799",2.89070074162674
"Wave_800",2.74988638494769
"Wave_801",2.94399661267468
"Wave_802",2.51051381999445
"Wave_803",2.44465999921738
"Wave_804",2.4368013099569
"Wave_805",1.90890222374858
"Wave_806",2.4568958242915
"Wave_807",2.76814589471564
"Wave_808",2.63474551909139
"Wave_809",2.73270734134968
"Wave_810",2.67814322851789
"Wave_811",2.4604094177478
"Wave_812",2.35603902922297
"Wave_813",2.47173963173838
"Wave_814",1.7111589767791
"Wave_815",1.99216824896866
"Wave_816",1.66459281851345
"Wave_817",1.73331059159613
"Wave_818",1.91617550978519
"Wave_819",2.11455256990646
"Wave_820",2.11262439951655
"Wave_821",1.8746502110705
"Wave_822",1.67033845358466
"Wave_823",1.35048328052532
"Wave_824",1.07769396481259
"Wave_825",0.580570866619771
"Wave_826",1.12279878901593
"Wave_827",1.46599737137475
"Wave_828",1.45709207612032
"Wave_829",0.528605489262208
"Wave_830",0.516863122697393
"Wave_831",0.396935848429564
"Wave_832",0.0854428053878373
"Wave_833",0.514720199014126
"Wave_834",1.41191328068776
"Wave_835",0.585226318723038
"Wave_836",0.523855504818669
"Wave_837",0.291294251955411
"Wave_838",0.092890990161777
"Wave_839",-0.0515929164521761
"Wave_840",0.342354282900674
"Wave_841",0.504859867822341
"Wave_842",0.0812013153746031
"Wave_843",-0.279767887132745
"Wave_844",-1.4311646741684
"Wave_845",-0.680452528634964
"Wave_846",-0.399777974368807
"Wave_847",0.48549998518086
"Wave_848",0.52121234624642
"Wave_849",-0.362473999467548
"Wave_850",-0.551145709378612
"Wave_851",-0.31944405271311
"Wave_852",-0.154987664015083
"Wave_853",-0.933749307843509
"Wave_854",-1.10993654970469
"Wave_855",-1.28891615959375
"Wave_856",-1.63829716040105
"Wave_857",-1.6248619769172
"Wave_858",-1.66876030896882
"Wave_859",-1.02850677515438
"Wave_860",-0.723826341841845
"Wave_861",-0.878389125263331
"Wave_862",-0.942053667480437
"Wave_863",-1.50836456278163
"Wave_864",-1.60865756223209
"Wave_865",-1.33280524859602
"Wave_866",-1.44377283500118
"Wave_867",-1.13029151464607
"Wave_868",-0.759971307944342
"Wave_869",-0.759545542400231
"Wave_870",-0.338819913360742
"Wave_871",-0.457440110042868
"Wave_872",-0.72130271623683
"Wave_873",-1.05379906033876
"Wave_874",-1.58291567742241
"Wave_875",-2.19021180715501
"Wave_876",-2.40997210234958
"Wave_877",-2.19508881546119
"Wave_878",-0.0646926136590291
"Wave_879",-1.1537817612566
"Wave_880",-0.821302175008948
"Wave_881",-0.427836729320961
"Wave_882",-0.834081187586239
"Wave_883",-1.19497973045807
"Wave_884",-1.62766176206078
"Wave_885",-0.855773262608011
"Wave_886",-0.760993847006828
"Wave_887",-1.53217644673712
"Wave_888",-2.11521877930999
"Wave_889",-2.05580836064733
"Wave_890",-0.983992250581543
"Wave_891",-0.709810126201397
"Wave_892",-0.910336800106929
"Wave_893",-0.724899103081349
"Wave_894",-1.04167992600773
"Wave_895",-0.90683046982976
"Wave_896",-1.40335153563985
"Wave_897",-1.15885975511572
"Wave_898",-1.68169360112825
"Wave_899",-2.47953375771618
"Wave_900",-2.21218465262143
"Wave_901",0.0817443776698577
"Wave_902",0.938165839407368
"Wave_903",-0.675594525570553
"Wave_904",-1.26202717323832
"Wave_905",-1.52303930604007
"Wave_906",-1.86625492950792
"Wave_907",-1.59473834156887
"Wave_908",-2.46236251413843
"Wave_909",-1.95653462454092
"Wave_910",-2.5775553808159
"Wave_911",-1.87777463316396
"Wave_912",-0.408848351542151
"Wave_913",0.274232815683037
"Wave_914",-0.36563741066467
"Wave_915",-2.2694216837508
"Wave_916",-2.65365803231233
"Wave_917",-2.42062091242428
"Wave_918",-1.57173266456797
"Wave_919",-0.140529314600796
"Wave_920",0.897333590096367
"Wave_921",-1.1189060348323
"Wave_922",-2.55359958988832
"Wave_923",-3.37590533324169
"Wave_924",-2.12285175402865
"Wave_925",0.435854127001645
"Wave_926",1.78327203394377
"Wave_927",0.100070705832782
"Wave_928",-0.895747703058783
"Wave_929",-1.80983780724397
"Wave_930",-0.995238027080958
"Wave_931",-0.939970708109655
"Wave_932",-0.742068334528249
"Wave_933",0.15525604633366
"Wave_934",-0.468924172225872
"Wave_935",-1.49276454662429
"Wave_936",-0.694902142590389
"Wave_937",-0.135477314999144
"Wave_938",0.116572564140663
"Wave_939",1.19993125089378
"Wave_940",1.80860679882769
"Wave_941",-1.61963812222673
"Wave_942",-1.35089609169991
"Wave_943",-0.682837236271232
"Wave_944",0.380245191871409
"Wave_945",1.16141101821267
"Wave_946",0.456184605122817
"Wave_947",-1.07759874749919
"Wave_948",-1.09499513631608
"Wave_949",-1.20256368112711
"Wave_950",0.67196111923103
"Wave_951",-1.88894798550964
"Wave_952",-2.30039427224994
"Wave_953",-0.497993108793063
"Wave_954",0.43630434750085
"Wave_955",-0.509547804960791
"Wave_956",2.5336836327464
"Wave_957",0.371656951467204
"Wave_958",2.56230781326282
"Wave_959",0.823996362641227
"Wave_960",-1.54972176611328
"Wave_961",-1.25116590599175
"Wave_962",-0.588707114496271
"Wave_963",-1.04158373617275
"Wave_964",-1.17698912373337
"Wave_965",-2.29058519728548
"Wave_966",-1.58955394461886
"Wave_967",-0.360017220161805
"Wave_968",-0.359460223032763
"Wave_969",0.405352620071269
"Wave_970",-2.15233192540728
"Wave_971",-2.19843057343249
"Wave_972",-2.70009745853179
"Wave_973",-2.69355306950636
"Wave_974",-2.68700854716042
"Wave_975",-2.58518386706768
"Wave_976",-2.47792510173486
"Wave_977",-2.39824531223186
"Wave_978",-2.31856556601773
"Wave_979",-1.37598661862119
"Wave_980",-0.433417102607856
"Wave_981",0.445227096976451
"Wave_982",1.26958100522788
"Wave_983",1.60531892691958
"Wave_984",1.90311168050549
"Wave_985",2.19141765194911
"Wave_986",2.52031668148351
