"","glucose_umol_m2.8.comps"
"Wave_881",-0.536109783038909
"Wave_882",-0.563640956722136
"Wave_883",-0.46317480556826
"Wave_884",-0.543002009528711
"Wave_885",-0.50064609082759
"Wave_886",-0.532971659492051
"Wave_887",-0.590359156511368
"Wave_888",-0.657425890725846
"Wave_889",-0.654571127149581
"Wave_890",-0.703799913389602
"Wave_891",-0.659498068809163
"Wave_892",-0.612948023198012
"Wave_893",-0.599118618845178
"Wave_894",-0.657363045616858
"Wave_895",-0.734411478708062
"Wave_896",-0.754117995935192
"Wave_897",-0.700560152366753
"Wave_898",-0.674095873340489
"Wave_899",-0.710011991686475
"Wave_900",-0.774281777145304
"Wave_901",-0.788979408648696
"Wave_902",-0.750935613825455
"Wave_903",-0.672415485215119
"Wave_904",-0.732473905394415
"Wave_905",-0.770146054446644
"Wave_906",-0.794121654283334
"Wave_907",-0.910220886819741
"Wave_908",-0.924384430891188
"Wave_909",-0.855425295294553
"Wave_910",-0.854379215808982
"Wave_911",-0.866317571600175
"Wave_912",-0.902816839976057
"Wave_913",-0.953250721715464
"Wave_914",-0.90704820061919
"Wave_915",-0.845579325276732
"Wave_916",-0.793406241314589
"Wave_917",-0.866190438344221
"Wave_918",-0.955540927038751
"Wave_919",-0.968424103606299
"Wave_920",-0.899669350968556
"Wave_921",-0.876978422741627
"Wave_922",-0.869387310706541
"Wave_923",-0.974982613762769
"Wave_924",-1.04300499277377
"Wave_925",-1.08723657679667
"Wave_926",-1.07638217445705
"Wave_927",-0.912529420463084
"Wave_928",-0.785060729962924
"Wave_929",-0.861370492547756
"Wave_930",-0.910375171707562
"Wave_931",-1.01553972811773
"Wave_932",-1.02586905030578
"Wave_933",-0.910526326076052
"Wave_934",-0.937504866342754
"Wave_935",-1.06433444660724
"Wave_936",-1.05113057670995
"Wave_937",-1.14107393785616
"Wave_938",-1.10632935549638
"Wave_939",-0.99367915683467
"Wave_940",-0.9263661940378
"Wave_941",-0.962848008134137
"Wave_942",-1.19826037819411
"Wave_943",-1.11773473045457
"Wave_944",-1.16987654186163
"Wave_945",-1.16128239850714
"Wave_946",-1.09563267828824
"Wave_947",-1.04533940802916
"Wave_948",-1.0499474441712
"Wave_949",-1.28487740194119
"Wave_950",-1.22081276199137
"Wave_951",-1.17663346602959
"Wave_952",-1.07220112351481
"Wave_953",-1.02384158768896
"Wave_954",-1.1110259874922
"Wave_955",-1.20121282637862
"Wave_956",-1.40744310716112
"Wave_957",-1.21871574764057
"Wave_958",-1.03094972830389
"Wave_959",-1.00104872377982
"Wave_960",-1.11672787418845
"Wave_961",-1.2406896119609
"Wave_962",-1.25446978409495
"Wave_963",-1.14783444841856
"Wave_964",-1.07451986906203
"Wave_965",-1.04183718002983
"Wave_966",-1.15980395579067
"Wave_967",-1.22656976795041
"Wave_968",-1.20904971840102
"Wave_969",-1.2740047368393
"Wave_970",-1.13312223119846
"Wave_971",-1.11338514187122
"Wave_972",-1.06546469012703
"Wave_973",-1.11477275013941
"Wave_974",-1.16408085555334
"Wave_975",-1.18825429559949
"Wave_976",-1.20320547466827
"Wave_977",-1.21374868770727
"Wave_978",-1.22429190890767
"Wave_979",-1.19968904779423
"Wave_980",-1.18006482682669
"Wave_981",-1.16636308665632
"Wave_982",-1.15444449219503
"Wave_983",-1.15857419350718
"Wave_984",-1.08032063921873
"Wave_985",-0.981471258334239
"Wave_986",-0.890106694297827
"Wave_987",-0.828681285762262
"Wave_988",-0.769633987586229
"Wave_989",-0.710586686628464
"Wave_990",-0.64069180419991
"Wave_991",-0.563959811969459
"Wave_992",-0.52496485193188
"Wave_993",-0.485969883230806
"Wave_994",-0.434784174517898
"Wave_995",-0.365478256544795
"Wave_996",-0.272855261954567
"Wave_997",-0.180232254208753
"Wave_998",-0.158718842685972
"Wave_999",-0.171723708697466
"Wave_1000",-0.188771325168788
"Wave_1001",-0.205818936245831
"Wave_1002",-0.157285417126425
"Wave_1003",-0.101778418123956
"Wave_1004",-0.0464057205857416
"Wave_1005",0.00779954760154621
"Wave_1006",0.0514978214477942
"Wave_1007",0.111496937462869
"Wave_1008",0.173307233025064
"Wave_1009",0.225145883653133
"Wave_1010",0.236327663213968
"Wave_1011",0.240577204462159
"Wave_1012",0.244826718520054
"Wave_1013",0.246802066305235
"Wave_1014",0.244422144503408
"Wave_1015",0.239839466590925
"Wave_1016",0.235256792044968
"Wave_1017",0.238881218184685
"Wave_1018",0.241908273499447
"Wave_1019",0.238866480344683
"Wave_1020",0.235824697724743
"Wave_1021",0.230371402690647
"Wave_1022",0.225405322735255
"Wave_1023",0.221090933160107
"Wave_1024",0.216776582918039
"Wave_1025",0.213591116634683
"Wave_1026",0.211701703709604
"Wave_1027",0.209942355286512
"Wave_1028",0.208988330359838
"Wave_1029",0.214915399619834
"Wave_1030",0.21754142015075
"Wave_1031",0.22016745173469
"Wave_1032",0.2244692223805
"Wave_1033",0.232196904276055
"Wave_1034",0.232278108304529
"Wave_1035",0.232359296378833
"Wave_1036",0.230132824491174
"Wave_1037",0.227672663776017
"Wave_1038",0.228440299265612
"Wave_1039",0.229207952472289
"Wave_1040",0.233654343257986
"Wave_1041",0.23544212731472
"Wave_1042",0.235039405380604
"Wave_1043",0.234636693981402
"Wave_1044",0.235681915116591
"Wave_1045",0.235373645813715
"Wave_1046",0.234874773354788
"Wave_1047",0.234375924467325
"Wave_1048",0.23549225035816
"Wave_1049",0.230115011851285
"Wave_1050",0.224737750330975
"Wave_1051",0.219511074774622
"Wave_1052",0.216380208943247
"Wave_1053",0.214977618176487
"Wave_1054",0.213575034260766
"Wave_1055",0.212937495785544
"Wave_1056",0.212001188755345
"Wave_1057",0.208981012473906
"Wave_1058",0.205960838946832
"Wave_1059",0.203628765044298
"Wave_1060",0.200995929566626
"Wave_1061",0.197939302572053
"Wave_1062",0.194882668628737
"Wave_1063",0.192634351807298
"Wave_1064",0.19150674416881
"Wave_1065",0.190465171018368
"Wave_1066",0.189423611768272
"Wave_1067",0.190700764421586
"Wave_1068",0.189896387803465
"Wave_1069",0.18909203246424
"Wave_1070",0.188287675349671
"Wave_1071",0.18878653267794
"Wave_1072",0.188820145075823
"Wave_1073",0.188853777418164
"Wave_1074",0.190938850670454
"Wave_1075",0.198316751027673
"Wave_1076",0.202781634305893
"Wave_1077",0.207246531375115
"Wave_1078",0.208503982980823
"Wave_1079",0.205794349455689
"Wave_1080",0.203446473899645
"Wave_1081",0.201098620528541
"Wave_1082",0.202613875214023
"Wave_1083",0.196918056003332
"Wave_1084",0.190134866968934
"Wave_1085",0.183351662765436
"Wave_1086",0.17827636155569
"Wave_1087",0.17203807426827
"Wave_1088",0.165799785035472
"Wave_1089",0.159561485350867
"Wave_1090",0.151397457395978
"Wave_1091",0.148570095077037
"Wave_1092",0.145742762709328
"Wave_1093",0.143880559132188
"Wave_1094",0.146677551541514
"Wave_1095",0.150006968460657
"Wave_1096",0.153336366821666
"Wave_1097",0.157918625217227
"Wave_1098",0.164359390671966
