"","all_carb_m2.12.comps"
"Wave_844",22.917810753628
"Wave_845",35.4572908864208
"Wave_846",28.0955940038819
"Wave_847",31.1763270032363
"Wave_848",25.4325456984764
"Wave_849",13.5505138167
"Wave_850",15.0888291600457
"Wave_851",17.0766369385445
"Wave_852",23.87970090767
"Wave_853",23.5976417776626
"Wave_854",16.5006294304434
"Wave_855",22.7345470995103
"Wave_856",17.0410401089009
"Wave_857",19.3181813086911
"Wave_858",16.3719910592274
"Wave_859",14.6974625563333
"Wave_860",16.2450223353067
"Wave_861",14.7290610892191
"Wave_862",14.8808349259458
"Wave_863",11.7130935772446
"Wave_864",8.57124399501017
"Wave_865",11.3867266529274
"Wave_866",20.1435843949982
"Wave_867",16.5702359639024
"Wave_868",18.5180905971749
"Wave_869",18.0430941269278
"Wave_870",11.3050899237212
"Wave_871",10.1805095571566
"Wave_872",6.19093671252636
"Wave_873",19.2409750006294
"Wave_874",10.3432100731306
"Wave_875",4.16641413154722
"Wave_876",9.99275564007456
"Wave_877",9.78602312071502
"Wave_878",12.2062179135334
"Wave_879",5.2587862498623
"Wave_880",7.90012466753302
"Wave_881",9.28819184718327
"Wave_882",4.22109923456203
"Wave_883",18.8645972286857
"Wave_884",5.41796407803592
"Wave_885",0.904308426042406
"Wave_886",0.11226746410948
"Wave_887",4.62632223747129
"Wave_888",8.73243804022858
"Wave_889",8.81997472053629
"Wave_890",4.98272105198909
"Wave_891",8.16898130946189
"Wave_892",-3.4121921903747
"Wave_893",-7.67545579614545
"Wave_894",-2.491813341837
"Wave_895",3.13049535962462
"Wave_896",-2.50439907554451
"Wave_897",5.86581390201815
"Wave_898",5.69662739901432
"Wave_899",1.13497584192436
"Wave_900",-3.46620514138805
"Wave_901",-9.649002103438
"Wave_902",-0.450273317415665
"Wave_903",2.88742555641848
"Wave_904",-1.69448823276613
"Wave_905",-3.73228581565604
"Wave_906",-4.84656613622042
"Wave_907",-14.698441220839
"Wave_908",-22.9542593396948
"Wave_909",3.09001793995735
"Wave_910",-10.7539077261787
"Wave_911",-15.8067739696073
"Wave_912",-10.7972474545998
"Wave_913",-9.3096862121038
"Wave_914",-6.98405313634773
"Wave_915",-5.45698388919802
"Wave_916",-7.49032622350509
"Wave_917",-14.4039102150978
"Wave_918",-20.8569099117005
"Wave_919",-18.6654877124998
"Wave_920",-4.60439181184328
"Wave_921",-1.50850454073062
"Wave_922",-15.2075185769184
"Wave_923",-24.3965175683795
"Wave_924",-29.2278199148931
"Wave_925",-26.7238037931905
"Wave_926",-14.6206359404119
