"","starch_umol_Glc_m2.12.comps"
"Wave_568",1.27719195705231
"Wave_569",0.382183390829997
"Wave_570",0.124733345199586
"Wave_571",-2.63337010072599
"Wave_572",-2.38456486857113
"Wave_573",-1.70755438573299
"Wave_574",-0.792849173737935
"Wave_575",0.447093811518521
"Wave_576",2.15386355361045
"Wave_577",3.10374461108858
"Wave_578",4.49468738994396
"Wave_579",3.79625520727463
"Wave_580",1.31992557209869
"Wave_581",1.98169949079499
"Wave_582",4.06801526849346
"Wave_583",5.67486055851508
"Wave_584",3.77525533153764
"Wave_585",1.26861644386004
"Wave_586",0.400700215847408
"Wave_587",0.048897688855611
"Wave_588",0.362791323628262
"Wave_589",-0.397776098608241
"Wave_590",-0.49719701600318
"Wave_591",-0.956248615087209
"Wave_592",-2.32476620774215
"Wave_593",-3.57182733324209
"Wave_594",-9.01543491413395
"Wave_595",-12.0854022127872
"Wave_596",-9.58404988954738
"Wave_597",-9.5036058281989
"Wave_598",-10.7546194074157
"Wave_599",-12.8052182622447
"Wave_600",-14.3738894034938
"Wave_601",-16.5877499688188
"Wave_602",-18.5954499783375
"Wave_603",-15.6794807809878
"Wave_604",-15.8624203053816
"Wave_605",-17.1906749936167
"Wave_606",-17.2756330278203
"Wave_607",-15.9138762096359
"Wave_608",-13.981979111903
"Wave_609",-12.1690527089526
"Wave_610",-10.1945511794028
"Wave_611",-6.92786993160565
"Wave_612",-6.51391669275547
"Wave_613",-6.24682463855634
"Wave_614",-4.19175461431176
"Wave_615",0.514787670016664
"Wave_616",1.98884589668043
"Wave_617",2.54269241160002
"Wave_618",4.58616793656877
"Wave_619",5.1596499240506
"Wave_620",7.03637495589497
"Wave_621",9.58605002990162
"Wave_622",9.54066082889942
"Wave_623",11.0052943028294
"Wave_624",11.3227723483864
"Wave_625",11.7700147194705
"Wave_626",10.3685581919293
"Wave_627",10.7470241325194
"Wave_628",12.848276658204
"Wave_629",12.4779615588658
"Wave_630",10.7546202361909
"Wave_631",8.35877113358862
"Wave_632",6.54995340436705
"Wave_633",4.80029528990939
"Wave_634",0.17462975307748
"Wave_635",-2.69403797744411
"Wave_636",-3.31984374594811
"Wave_637",-4.95156081293018
"Wave_638",-8.02373858556296
"Wave_639",-12.4289039050394
"Wave_640",-15.6961631592731
"Wave_641",-18.5697978304532
"Wave_642",-21.5025687701048
"Wave_643",-24.6178097062347
"Wave_644",-27.1280066590472
"Wave_645",-27.0554326360354
"Wave_646",-27.7465880800447
"Wave_647",-31.0019143180834
"Wave_648",-31.662695399237
"Wave_649",-32.7477789803297
"Wave_650",-33.138570827777
"Wave_651",-30.2763244419677
"Wave_652",-28.8502359383493
"Wave_653",-29.8343977219205
"Wave_654",-31.0164149949237
"Wave_655",-28.8720659230781
"Wave_656",-23.9338974727334
"Wave_657",-18.6541070916374
"Wave_658",-13.3280609026946
"Wave_659",-10.2283448296044
"Wave_660",-8.28797695868768
"Wave_661",-5.04264836984287
"Wave_662",-2.23550858833383
"Wave_663",2.11090733798083
"Wave_664",8.07385933879558
"Wave_665",12.4765565802722
"Wave_666",14.5448269744021
"Wave_667",13.1380097995722
"Wave_668",13.9348449210478
"Wave_669",14.838627996007
"Wave_670",16.0624162808102
"Wave_671",15.8863012151362
"Wave_672",15.4682186147029
"Wave_673",16.5131565859345
"Wave_674",16.8858918002128
"Wave_675",13.1875623012821
"Wave_676",11.21385913124
"Wave_677",8.40816659810184
"Wave_678",5.85063233640614
"Wave_679",2.42264704027046
"Wave_680",0.50802960993972
"Wave_681",-3.09558005113678
"Wave_682",-7.83108208959988
"Wave_683",-8.68409902371826
"Wave_684",-10.7299297919799
"Wave_685",-13.7557056702627
"Wave_686",-15.594049968954
"Wave_687",-12.4925141849283
"Wave_688",-10.9963986623082
"Wave_689",-10.9950490727688
"Wave_690",-7.08930702697876
"Wave_691",-3.98148933770795
"Wave_692",-2.43863264900832
"Wave_693",2.31598097259586
"Wave_694",6.3165718368573
"Wave_695",6.366221362354
"Wave_696",6.03329012414099
"Wave_697",7.81974255741788
"Wave_698",7.41020413977011
"Wave_699",3.7683819611524
"Wave_700",4.73936110216845
"Wave_701",1.84279206744404
"Wave_702",-1.85877678837529
"Wave_703",-2.09716889776889
"Wave_704",0.913063545439547
