"","nitrate_umol_m2.10.comps"
"Wave_814",0.288073194766535
"Wave_815",0.427937794152942
"Wave_816",0.205112708880617
"Wave_817",0.148522167380231
"Wave_818",0.194473968977326
"Wave_819",-0.186742212201009
"Wave_820",-0.145379549741493
"Wave_821",0.287508478851699
"Wave_822",0.164918440014315
"Wave_823",-0.193419655490914
"Wave_824",0.226420043549059
"Wave_825",-0.0887338940099405
"Wave_826",-0.55554743511532
"Wave_827",-0.58571615459786
"Wave_828",-0.295554798322841
"Wave_829",0.108885618881333
"Wave_830",-0.0373182223033617
"Wave_831",-0.407231126802988
"Wave_832",-0.820234415894625
"Wave_833",-0.930414227159736
"Wave_834",-0.427395673794041
"Wave_835",0.0631635502932153
"Wave_836",-0.444033697594489
"Wave_837",-0.653580428840742
"Wave_838",-0.848036583699678
"Wave_839",-1.10354371650945
"Wave_840",-0.404927971218043
"Wave_841",-0.814330108754314
"Wave_842",-1.13149911905789
"Wave_843",-0.748645850213947
"Wave_844",-0.613949426848913
"Wave_845",-0.827215973820144
"Wave_846",-0.776191581375257
"Wave_847",-0.619883069575468
"Wave_848",-0.670478957328489
"Wave_849",-0.74210394640629
"Wave_850",-0.726706431806805
"Wave_851",-0.335543667129354
"Wave_852",-0.677487000546477
"Wave_853",-0.845221696376492
"Wave_854",-0.647546306818966
"Wave_855",-0.945932794372423
"Wave_856",-1.41335330753686
"Wave_857",-1.1182028003282
"Wave_858",-0.537886386250033
"Wave_859",0.0462460209947118
"Wave_860",-0.0249219722963128
"Wave_861",-0.805010337584037
"Wave_862",-1.01589528510977
"Wave_863",-1.33676711509934
"Wave_864",-1.42344208551585
"Wave_865",-0.543086672544201
"Wave_866",-0.573148110403113
"Wave_867",-0.984599614520957
"Wave_868",-0.760053698455929
"Wave_869",-0.755938008781443
"Wave_870",-0.941426422522722
"Wave_871",-0.754607822591413
"Wave_872",-0.136538758283333
"Wave_873",-0.533145640105641
"Wave_874",-0.504320506791161
"Wave_875",-0.609949842380813
"Wave_876",-0.60100272035811
"Wave_877",-0.854231655407484
"Wave_878",-0.962722541866152
"Wave_879",-0.926296180025601
"Wave_880",-0.848417166976211
"Wave_881",-0.774359129141189
"Wave_882",-0.638950328533987
"Wave_883",-0.65299502254214
"Wave_884",-0.620974829566129
"Wave_885",0.289995278849361
"Wave_886",0.298313679535632
"Wave_887",-0.0123410599147207
"Wave_888",-0.68013387623615
"Wave_889",-2.01289100476433
"Wave_890",-0.824268001890006
"Wave_891",-0.561527810798033
"Wave_892",-0.465686653143708
"Wave_893",-0.0935333344331012
"Wave_894",0.389833354279921
"Wave_895",-0.30315067148224
"Wave_896",-0.00385411053625484
"Wave_897",-0.0222146162978351
"Wave_898",0.129867001114641
"Wave_899",0.0704861610590533
"Wave_900",-0.4535737205655
"Wave_901",-0.927909704305216
"Wave_902",-0.511272533756025
"Wave_903",-0.718208289944152
"Wave_904",-0.44332932142173
"Wave_905",-0.134760240922604
"Wave_906",-0.0848511328776219
"Wave_907",-0.0478069954247696
"Wave_908",-0.20174422660473
"Wave_909",-0.504945327748542
"Wave_910",-0.766179785510688
"Wave_911",-0.313579287968282
"Wave_912",0.32900894510736
"Wave_913",0.474430148106619
"Wave_914",0.25132993680019
"Wave_915",-0.676206357251847
"Wave_916",-0.672557330709681
"Wave_917",-0.652249681922717
"Wave_918",-0.271399768006738
"Wave_919",0.494891949413498
"Wave_920",0.908873480035988
"Wave_921",0.0284400979306655
"Wave_922",-0.67991108204305
"Wave_923",0.00513064575443453
"Wave_924",0.479221216484776
"Wave_925",0.811025665534997
"Wave_926",0.951675238798104
"Wave_927",-0.0633700232756156
"Wave_928",-1.09305817893509
"Wave_929",-0.377542215363261
"Wave_930",0.740315380657515
"Wave_931",1.48933413445172
"Wave_932",1.24096517698939
"Wave_933",0.173080799827626
"Wave_934",-0.650191499994655
"Wave_935",-1.27539231759171
"Wave_936",0.4430608120295
"Wave_937",0.665634299334607
"Wave_938",1.02136569767251
"Wave_939",0.910947893462699
"Wave_940",0.0387554480968812
"Wave_941",0.382074411636005
"Wave_942",1.01133501244931
"Wave_943",-0.389989009078727
"Wave_944",0.309307063864346
"Wave_945",0.95366490405222
"Wave_946",0.496116456157006
"Wave_947",-0.170165160339624
"Wave_948",0.644572306095327
"Wave_949",0.191372193388071
"Wave_950",-0.429922611381754
"Wave_951",-0.274775972223655
"Wave_952",-0.0440302819338328
"Wave_953",0.265921203098919
"Wave_954",0.662437992788549
"Wave_955",0.570656214955444
"Wave_956",1.01111733139148
"Wave_957",1.00626026182977
"Wave_958",1.29386036787589
"Wave_959",0.625679211168253
"Wave_960",-0.508313221575607
"Wave_961",-0.680204397852153
"Wave_962",1.40431109329277
"Wave_963",0.926719854193562
"Wave_964",-0.465407234708626
"Wave_965",-1.40566011782818
"Wave_966",-0.524354872205586
"Wave_967",0.687084353115837
"Wave_968",0.948779397721891
"Wave_969",1.21546251446642
"Wave_970",2.00429573889361
"Wave_971",0.415186346008415
"Wave_972",0.204442718248178
"Wave_973",0.494531605774546
"Wave_974",0.784620641221682
"Wave_975",0.928349076445746
"Wave_976",0.957085052453939
"Wave_977",0.868217156988812
"Wave_978",0.779349643310431
"Wave_979",0.994021554034449
"Wave_980",1.24147438936672
"Wave_981",1.48829659195999
"Wave_982",1.69106951013058
"Wave_983",1.49739856208603
"Wave_984",1.39805859050811
"Wave_985",1.32230132608037
"Wave_986",1.26235150542592
"Wave_987",1.26563147252798
"Wave_988",0.971248818033735
"Wave_989",0.676866273753979
"Wave_990",0.493742401534838
"Wave_991",0.551892737171448
"Wave_992",0.907587203854946
"Wave_993",1.2632818101302
"Wave_994",1.44961421596192
