"","all_sug_m2.14.comps"
"Wave_747",-2.18089157200686
"Wave_748",-1.46382781698402
"Wave_749",-0.821392412688445
"Wave_750",-0.573247929546923
"Wave_751",-0.9270533665119
"Wave_752",-1.3073157289504
"Wave_753",-1.41256834868384
"Wave_754",-1.1052582633339
"Wave_755",-0.759883072793412
"Wave_756",-0.997872227897661
"Wave_757",-1.15578030671366
"Wave_758",-1.0387375970813
"Wave_759",-1.08373058054792
"Wave_760",-1.06004713014209
"Wave_761",-0.87339598154064
"Wave_762",-0.55025415544709
"Wave_763",0.098432470667324
"Wave_764",0.341892158834724
"Wave_765",0.497521592996424
"Wave_766",0.472986635106864
"Wave_767",0.587498566143983
"Wave_768",0.623427959776857
"Wave_769",0.456752904280769
"Wave_770",0.702397437533164
"Wave_771",1.01735092377117
"Wave_772",1.21313479754168
"Wave_773",1.0291284454336
"Wave_774",1.05260233048644
"Wave_775",1.36748873559416
"Wave_776",1.5480378572546
"Wave_777",1.75250077060581
"Wave_778",1.39412538681226
"Wave_779",0.99540732525503
"Wave_780",1.30544908211937
"Wave_781",1.93724929772478
"Wave_782",1.74162878749708
"Wave_783",1.78028304574771
"Wave_784",2.11748238891942
"Wave_785",1.67336520241813
"Wave_786",1.57276246459742
"Wave_787",2.08450398335721
"Wave_788",2.35570753229969
"Wave_789",2.16227963428984
"Wave_790",1.99911451922652
"Wave_791",1.97584976126337
"Wave_792",2.13806095936018
"Wave_793",2.42094145314038
"Wave_794",2.36926707806968
"Wave_795",2.17647133277683
"Wave_796",2.17407388669001
"Wave_797",2.27373837392635
"Wave_798",2.27910014889394
"Wave_799",2.0341007241193
"Wave_800",2.06254802717923
"Wave_801",2.55997687974496
"Wave_802",2.22077146538454
"Wave_803",2.1056476727326
"Wave_804",2.5380293495979
"Wave_805",2.35970521932414
"Wave_806",3.04369890026589
"Wave_807",3.00424346216408
"Wave_808",2.54315788575493
"Wave_809",2.09930858894822
"Wave_810",1.9008093367154
"Wave_811",2.1194156732574
"Wave_812",2.3203355771818
"Wave_813",2.79591943163559
"Wave_814",3.10800446484085
"Wave_815",2.32743055326701
"Wave_816",2.04981342864353
"Wave_817",1.95777917651156
"Wave_818",1.79640706392904
"Wave_819",1.60767834020488
"Wave_820",1.90250399064698
"Wave_821",1.19374097863673
"Wave_822",0.586338048143589
"Wave_823",0.939828365084803
"Wave_824",1.14592301150805
"Wave_825",1.51908523217447
"Wave_826",1.72595849613176
"Wave_827",0.718891899546501
"Wave_828",-0.079041009927092
"Wave_829",0.86057105438732
"Wave_830",1.27309146482171
"Wave_831",1.9087132800872
"Wave_832",1.65341374306592
"Wave_833",1.18388093882647
"Wave_834",0.308335312635732
"Wave_835",-0.197176071137459
"Wave_836",0.225482266904149
"Wave_837",0.628422616115508
"Wave_838",0.583862260681934
"Wave_839",0.267378212672945
"Wave_840",-0.0813730853454382
"Wave_841",-0.143217947492464
"Wave_842",-0.0679227684738512
"Wave_843",0.347804917523483
"Wave_844",0.677756932019173
"Wave_845",0.862402985438574
"Wave_846",-0.133033105306356
"Wave_847",0.012545794113562
"Wave_848",-0.756769059166254
"Wave_849",-1.034221471861
"Wave_850",-0.348458280730427
"Wave_851",-0.126078648166312
"Wave_852",0.19168415806388
"Wave_853",-0.387158294406855
"Wave_854",-0.410885752623165
"Wave_855",0.231073701971969
"Wave_856",-0.29866405600907
"Wave_857",0.0376725314484275
"Wave_858",-0.0757722743240669
"Wave_859",-0.336929762601437
"Wave_860",-0.430335156196367
"Wave_861",-0.820904828790931
"Wave_862",-0.365641490182982
"Wave_863",-0.382948254986159
"Wave_864",0.0672097528713606
"Wave_865",0.53233283455332
"Wave_866",0.0630000989931685
"Wave_867",-0.585649741482891
"Wave_868",-0.375252859960674
"Wave_869",-0.136821484350692
"Wave_870",0.900446588411399
"Wave_871",1.37438447183909
"Wave_872",0.643943343294694
"Wave_873",0.561932596758496
"Wave_874",-0.336915150395719
"Wave_875",-0.8903541113375
"Wave_876",-0.189026090783762
"Wave_877",-0.285498971583672
"Wave_878",-0.129260743000156
"Wave_879",-1.03930264668901
"Wave_880",-1.11910911431579
"Wave_881",-0.948239114021711
"Wave_882",-0.296368686661118
"Wave_883",0.924424115145059
"Wave_884",-0.382362338346103
"Wave_885",0.287345791376688
"Wave_886",0.130103810908116
"Wave_887",-0.110679391818748
"Wave_888",-0.783278011488984
"Wave_889",-1.14184777709021
"Wave_890",-1.53565496289662
"Wave_891",-0.963671262460552
"Wave_892",-0.9444551332287
"Wave_893",-0.851491308334332
"Wave_894",-0.513215272082256
"Wave_895",-1.29641283788361
"Wave_896",-0.767425276528469
"Wave_897",0.843084209887654
"Wave_898",0.739780396793842
"Wave_899",-0.209656511037827
"Wave_900",-0.934801699356374
"Wave_901",-0.626600158430034
"Wave_902",0.306027558262366
"Wave_903",0.501131190683219
"Wave_904",0.210069682063221
"Wave_905",-0.638595307532933
"Wave_906",-1.71578261536393
"Wave_907",-2.46311885590561
"Wave_908",-2.72217117154417
"Wave_909",-0.274094187895332
"Wave_910",-1.29657240128186
"Wave_911",-1.48018883520421
"Wave_912",-1.43783634252467
"Wave_913",-2.4100998479431
"Wave_914",-2.00274797315203
"Wave_915",-0.637382013673856
"Wave_916",0.993225888894292
"Wave_917",0.984904808599978
"Wave_918",-0.334114863496363
"Wave_919",-1.25203550225442
"Wave_920",-0.115679670847592
"Wave_921",-0.0653918748603629
"Wave_922",-0.907414763159797
"Wave_923",-0.701528063226015
"Wave_924",-1.09977206405085
"Wave_925",-0.844290969655436
"Wave_926",-0.191571765972317
"Wave_927",-0.781099019280286
"Wave_928",-1.10036558723293
"Wave_929",0.704468803488749
"Wave_930",1.18453870378328
"Wave_931",-0.264687663593891
"Wave_932",-0.970341295292572
"Wave_933",-0.121207087972797
"Wave_934",-1.40586051870685
"Wave_935",-1.71502764319329
"Wave_936",-1.24467131150549
"Wave_937",-1.15944771862797
"Wave_938",-0.750046305704912
"Wave_939",-0.463412250587762
"Wave_940",-0.554415138853909
"Wave_941",-0.556940245988219
"Wave_942",-0.629691435754985
"Wave_943",-0.86818319824813
"Wave_944",-1.68309036287256
"Wave_945",-1.39334577621794
"Wave_946",-0.93566470653035
"Wave_947",-1.0755475750104
"Wave_948",0.35594680003696
"Wave_949",-1.61913490223121
"Wave_950",-0.735721602316319
"Wave_951",-1.73879822820889
"Wave_952",-1.36297343265615
"Wave_953",-0.187532758503447
"Wave_954",-0.17147759187755
"Wave_955",-1.28129094987465
"Wave_956",-0.901767582623917
"Wave_957",-0.818364171701276
"Wave_958",1.19202463120237
"Wave_959",-0.867594470684929
"Wave_960",-2.75007877423554
"Wave_961",-1.93706946427019
"Wave_962",-1.38954979234187
"Wave_963",1.38905516944916
"Wave_964",-1.07119758367264
"Wave_965",-2.14746664626839
"Wave_966",-2.18994367332718
"Wave_967",-0.675402586680871
"Wave_968",-0.330775938468762
"Wave_969",-3.01554557180491
"Wave_970",-1.79335966331293
"Wave_971",-1.68345957843681
"Wave_972",-1.42678282447007
"Wave_973",-1.27536963390143
"Wave_974",-1.12395673589727
"Wave_975",-1.11500583424338
"Wave_976",-1.28563654377503
"Wave_977",-1.67221633693604
"Wave_978",-2.05879647794718
"Wave_979",-2.1431312581163
"Wave_980",-2.25231371597716
"Wave_981",-2.40044996953577
"Wave_982",-2.51327760932698
"Wave_983",-2.30832749928543
"Wave_984",-1.43701648073463
"Wave_985",-0.399115213780305
"Wave_986",0.501140592554037
"Wave_987",0.850815943219182
"Wave_988",0.649211830229454
"Wave_989",0.44760758327764
"Wave_990",0.485048077690866
"Wave_991",0.814833298266839
"Wave_992",0.879730104117679
"Wave_993",0.944627240629055
"Wave_994",1.11141112678125
"Wave_995",1.25754859838148
"Wave_996",1.19702002088724
"Wave_997",1.13649132199541
"Wave_998",0.466652354858662
"Wave_999",-0.08965498280769
"Wave_1000",-0.271297855778529
"Wave_1001",-0.45294071651146
"Wave_1002",0.312784322251403
"Wave_1003",0.729249257908088
"Wave_1004",0.950918502913712
"Wave_1005",1.12393368848741
"Wave_1006",0.859060024699756
"Wave_1007",0.544425712917929
"Wave_1008",0.22426270412952
"Wave_1009",-0.106101394389116
"Wave_1010",-0.448046426278635
"Wave_1011",-0.526977947748915
"Wave_1012",-0.605909956972771
"Wave_1013",-0.592058167708988
"Wave_1014",-0.436020674992876
"Wave_1015",-0.272957772673627
"Wave_1016",-0.1098946733247
"Wave_1017",-0.0467914598021584
"Wave_1018",0.0451654386177532
"Wave_1019",0.232615789664505
"Wave_1020",0.42006593758814
"Wave_1021",0.636865443316044
"Wave_1022",0.756868904838989
"Wave_1023",0.829997716470091
"Wave_1024",0.903126228097041
"Wave_1025",0.861417674500831
"Wave_1026",0.900533454586242
"Wave_1027",0.95004720582676
"Wave_1028",0.9872160774845
"Wave_1029",0.918028766809633
"Wave_1030",0.891576157611748
"Wave_1031",0.86512368919833
"Wave_1032",0.818650018709246
"Wave_1033",0.72558928930595
"Wave_1034",0.710691655215909
"Wave_1035",0.695793659271121
"Wave_1036",0.759751894783874
"Wave_1037",0.807875940200354
"Wave_1038",0.721881511699236
"Wave_1039",0.635887547539485
"Wave_1040",0.476310821278211
"Wave_1041",0.424121246811924
"Wave_1042",0.438977959212546
"Wave_1043",0.453834748558028
"Wave_1044",0.51197976466987
"Wave_1045",0.534335969081223
"Wave_1046",0.551513328467402
"Wave_1047",0.568690898090115
"Wave_1048",0.575475910981079
"Wave_1049",0.627085011726326
"Wave_1050",0.678693929317132
"Wave_1051",0.73053779351075
"Wave_1052",0.77067644083839
"Wave_1053",0.778570247710887
"Wave_1054",0.786463816209501
"Wave_1055",0.787085104676906
"Wave_1056",0.786227027269714
"Wave_1057",0.800859568231177
"Wave_1058",0.815491876240752
"Wave_1059",0.788363160323012
"Wave_1060",0.722595397370543
"Wave_1061",0.658166106227427
"Wave_1062",0.593736772194915
"Wave_1063",0.583514992150033
"Wave_1064",0.645405258159538
"Wave_1065",0.712726673618442
"Wave_1066",0.780048151558614
"Wave_1067",0.78498699689069
"Wave_1068",0.742469823966215
