"","N_g_m2.13.comps"
"Wave_1325",0.0800311001264898
"Wave_1326",0.0560306345123921
"Wave_1327",0.0337311856318582
"Wave_1328",0.0267410102858076
"Wave_1329",0.019750938928185
"Wave_1330",0.0127607229209525
"Wave_1331",0.0052533844153571
"Wave_1332",-0.00117793715177222
"Wave_1333",-0.00760927904544913
"Wave_1334",-0.0140406403553076
"Wave_1335",-0.0202659768862923
"Wave_1336",-0.026353964820038
"Wave_1337",-0.0324419585611423
"Wave_1338",-0.0385299908402064
"Wave_1339",-0.0543633594456274
"Wave_1340",-0.0712794405774034
"Wave_1341",-0.0881955378865375
"Wave_1342",-0.101844319890308
"Wave_1343",-0.102423392416846
"Wave_1344",-0.103002513974089
"Wave_1345",-0.103581620315102
"Wave_1346",-0.107360001054616
"Wave_1347",-0.115937295695859
"Wave_1348",-0.124514558510695
"Wave_1349",-0.133091824737035
"Wave_1350",-0.136311727745026
"Wave_1351",-0.137235709262597
"Wave_1352",-0.138159660497056
"Wave_1353",-0.13908356864969
"Wave_1354",-0.17497209661409
"Wave_1355",-0.210860496580639
"Wave_1356",-0.246749000270057
"Wave_1357",-0.273786349242899
"Wave_1358",-0.265419090270893
"Wave_1359",-0.257051710377483
"Wave_1360",-0.24868444176827
"Wave_1361",-0.234436358719956
"Wave_1362",-0.214307674583131
"Wave_1363",-0.194178962886929
"Wave_1364",-0.174050209249182
"Wave_1365",-0.170580836414889
"Wave_1366",-0.171276228481238
"Wave_1367",-0.171971669449317
"Wave_1368",-0.175020427876145
"Wave_1369",-0.199248959197475
